,id,name,license_id,address_number,address_street_name,ssn
88,10814,Cierra Schroer,568163,1404,Andy Rd,896709139
89,10815,Adriane Pelligra,952073,948,Emba Ave,243639527
90,10816,Garret Kuffel,773358,1075,Demby Rd,889692872
91,10833,Queen Radigan,573165,2910,Claire St,352925729
92,10834,Gerald Reil,316145,2456,Watervale Ave,382201590
93,10843,Linda Chikko,652509,453,Low Cross Wood Way,393445768
94,10866,Meghann Rimmer,829324,1155,Fiat Rd,459201711
95,10890,Jami Freiberger,562234,3376,Diesel Way,324014092
96,10904,Lawrence Angiolillo,933156,2895,Cameron Pond Ave,201309154
97,10909,Ada Mcbrady,969690,3982,Woolley Blvd,772978976
98,10910,Torie Diekmann,868735,21,Pilgrim Way,795102956
99,10912,Leida Vaka,650228,3820,Sherburne Dr,682173940
100,10914,Cinderella Coachman,189336,575,Yanilla St,516609775
101,10935,Lahoma Stribley,984442,183,Rodsall Circle,392680054
102,10945,Mariann Tremaine,667117,2833,Rahlves St,132269282
103,10946,Cayla Dittberner,585848,3385,Uralla Ave,840905613
104,10952,Lesli Engelbach,221115,3876,W Cleven Way,715434894
105,10968,Asley Regulski,193903,240,Kreck Way,419744952
106,10980,Myron Willington,301337,3212,W Brampton Way,597993407
107,11005,Bradly Goodness,493031,1183,Mina St,238820780
108,11012,Sherron Mckiernan,420324,1275,Deborah Lee St,495147886
109,11015,King Titmus,489888,1054,Running River Way,123107875
110,11018,Jovita Crear,735149,1166,Kern Creek Blvd,961376550
111,11038,Charity Bleicher,563787,2550,Thomas Jefferson Circle,626982484
112,11050,Latoyia Syta,697261,3177,Mount Olive St,877580969
113,11059,Devin Caddigan,739503,3727,San Ardo Circle,809549257
114,11062,Rivka Chadwell,587839,1327,Tovito Blvd,204256047
115,11072,Margene Bodiroga,207422,1491,W Dakin Circle,822197116
116,11084,Lesha Wanger,373204,3556,Sable Oaks Blvd,755931532
117,11092,Andre Padilla,320049,3973,Regalia Ave,734463436
118,11120,Shane Cichonski,626113,332,Hascombe Way,703857374
119,11132,Edward Lestrange,586294,1629,Walport Way,473814207
120,11140,Vernon Farrelly,560603,396,Torri Circle,733302152
121,11151,Shantell Rudge,748480,1569,Dragonwyck St,973457772
122,11153,Wilber Kapoi,141011,1245,Thistle Dr,220840124
123,11161,Emmett Labrec,556632,2494,Goesel Blvd,598689010
124,11162,Dorthy Picardi,889044,864,Castlemere Ave,245451296
125,11165,Lianne Knodel,332627,3280,Shawbury Ave,893252243
126,11173,Ken Whitted,755830,3300,Climbhill Rd,604322569
127,11175,Chang Loske,641581,3139,Comus Ave,741867931
128,11176,Lakeshia Che,622026,2934,Cottesmore Rd,965218751
129,11177,Stephen Uttley,861250,2424,Perseus St,355304085
130,11181,Hubert Yeddo,170574,2715,S Normal St,530896810
131,11182,Socorro Huss,563643,3907,N Munn Blvd,559829808
132,11191,Winford Westerlund,270433,1287,Waldman Ave,965474003
133,11197,Kerstin Shomin,975101,3402,Pescot St,666303771
134,11202,Leonie Smits,276555,3412,Auxplaines St,151478457
135,11211,Teresita Lazzar,270291,683,King Farm St,128433771
136,11220,Yolonda Evanchyk,290422,3044,Wash Rd,925834493
137,11231,Terrance Wolpe,139639,415,Panabaker St,367239672
138,11238,Sunni Scadlock,201325,221,Blackhill Blvd,594102804
139,11252,Lisabeth Li,957417,2860,Ligar Circle,988977269
140,11263,Ruben Manternach,634053,217,Whitebark Dr,551211833
141,11264,Zada Laban,808317,1663,Testa Circle,983015244
142,11273,Reggie Vanwart,514737,1252,Devon Hills Dr,558131465
143,11278,Wes Bacher,976182,3909,San Benito St,295763459
144,11279,Seth Distilo,782001,1781,Blackheath Circle,612138704
145,11295,Mack Honas,868961,3231,Oak Bay Rd,346017204
146,11297,Lucila Leh,135545,2305,Nellie White Way,347165146
147,11302,Randell Polhamus,535712,2958,Meadowfaire Circle,660112358
148,11314,Kimberlie Tommolino,409910,1432,Selmarten Way,873682107
149,11323,Hung Andrino,454199,350,West Rumble Way,244897210
150,11358,Evangelina Fountaine,588727,2301,Pahl Dr,836295324
151,11362,Lily Radvany,438768,1897,Trotter Farm N Blvd,134600890
152,11368,Guillermo Janda,514337,280,Harter Way,856427778
153,11376,Leo Mayer,346164,3157,W Proesel Dr,484457281
154,11385,Waldo Plato,755764,1406,Airbase Ave,195011948
155,11402,Hester Zodrow,245787,1142,South Jack Tone Way,244988508
156,11403,Delmar Daunt,971776,784,Small Rd,796257359
157,11404,Wilmer Stach,811015,496,Springwater Blvd,270556584
158,11412,Vernetta Vanderwerf,797055,1442,Portley Wood Ave,701690416
159,11414,Quyen Guglielmo,763049,3325,Back Eddisbury Circle,113335405
160,11424,Phil Heaslet,405462,414,Fabor Ave,174637927
161,11440,Jesus Ferrufino,359660,2771,Monna Blvd,250066038
162,11447,Erminia Kalas,558580,3230,Wisp Circle,962251034
163,11455,Charlie Korth,848261,1970,Dewes Rd,402568682
164,11458,Ariane Kamalii,178965,3289,Pedra Blvd,462280977
165,11468,Nickolas Wikoff,943608,3672,Credon Ave,601926882
166,11470,Brian Deleonardis,515963,1925,Saint Brendan St,427368785
167,11487,Annalisa Rifenbery,629991,617,Vandine Dr,808561288
168,11494,Louie Olivier,617507,1401,Park Gardens Ave,523416706
169,11495,Rebbeca Huminski,212885,15,Flavell Dr,161816051
170,11503,Waylon Aull,291576,88,Watchbell Circle,935673213
171,11516,Elias Cali,301444,2601,Souldern St,329775720
172,11522,Joy Dufford,771507,1317,Rose Hatch Way,417156565
173,11523,Santiago Snowman,113884,383,Cross Peel Rd,660190854
174,11561,Maryln Muzacz,857188,989,E Howell St,453159305
175,11567,Sharika Gugliuzza,484719,779,Moak Ave,895156580
176,11568,Suzy Vecchia,955138,257,Henry Garnett Way,693355085
177,11570,Colby Spicker,659115,2436,S Leclaire Ave,230407013
178,11577,Deandre Nikirk,101568,210,West Hendy Ave,427360325
179,11586,Chung Touhey,542587,243,Collingswood Circle,781363982
180,11615,Simona Mcniel,664790,3438,St. Andrews Rd,491997636
181,11618,Pedro Gorelik,907869,1259,Match Point Rd,590099412
182,11639,Luise Dumaine,991862,208,Belmont Place Ave,286421004
183,11642,Dionne Kingcade,203726,2770,Home Lawn Way,141387442
184,11663,Wilmer Stansifer,884012,2034,North Ellsworth Dr,998323983
185,11686,Oma Chaves,364093,45,Loiselle Way,388467493
186,11697,Flo Kandarian,338173,86,Highlandview Ave,671693430
187,11723,Jess Weisgerber,103936,2939,Chisledon Rd,269100406
188,11751,Pasquale Melchor,876713,1849,S Edbrooke Rd,890909817
189,11758,Vera Dobison,251014,2462,South Border Rd,896453396
190,11759,Cordell Aardema,488069,2065,Nittany Circle,539897170
191,11761,Dewitt Luthi,203664,1335,Liddicoat Ave,934978677
192,11794,Doretta Bowline,563654,3258,W Eggerding Blvd,737391581
193,11813,Kelly Bainer,847750,3946,Nanette Blvd,108155182
194,11822,Edward Galindez,361179,806,Surfperch Circle,561802035
195,11849,Pattie Pesqueira,808271,268,Lawling Way,839646700
196,11856,Hank Skillom,496959,3345,Keyner St,145569958
197,11858,Rozella Mellady,612877,1858,Cosmos St,598939303
198,11863,Ricardo Gellatly,728305,2021,N Court House Circle,961272528
199,11874,Georgianne Chamber,643530,2005,Borough Court Dr,892498113
200,11884,Velda Regier,803254,3199,Fells Way,199245839
201,11890,Mohammad Karter,817588,3489,Raffin Green St,386873774
202,11899,Lonnie Beman,819950,1953,Las Lomitas Circle,727487554
203,11900,Lewis Zide,718254,2412,Valimar Ave,426244463
204,11914,Kip Smolinski,270112,226,Arrunga St,429531898
205,11917,Gaynell Fanton,629406,3965,Bowdon Rd,700061300
206,11950,Porter Urbieta,624806,104,W Farms Blvd,410315066
207,11957,Hai Holubar,278506,1279,Carlos Way,600691600
208,11971,Robert Ghelfi,700149,2127,Nutfield Marsh Way,230490352
209,11987,Trisha Shumpert,798447,2907,Tree Estate Mead Dr,648948844
210,11990,Claudio Carlan,539828,2888,Wooden Spoke Rd,311494850
211,11992,Andreas Walding,680931,2024,Bayer Blvd,253835181
212,11993,Stuart Mavro,285368,1650,Minet Dr,946489789
213,12000,Willian Saxbury,450424,1782,Illingsworth Way,376612338
214,12007,Georgette Shetz,339341,1212,Skyport Ave,423298667
215,12022,Simonne Pekara,825798,1620,Chattleton St,578791263
216,12030,Terrell Drymon,755660,3082,Krumb Blvd,387180115
217,12034,Jefferson Hickenbottom,541429,2123,Bolshaw Ave,706780807
218,12049,Honey Erbentraut,982387,2653,Fteley Dr,292269618
219,12056,Colton Kayler,664501,1320,East Woodson Dr,195611910
220,12061,Fritz Boldon,881541,2911,Trawl Circle,876115774
221,12092,Aurelio Noggles,539461,94,Winterborne Dr,737869459
222,12095,Marcelino Vanzante,707295,1102,Enders Blvd,780263148
223,12103,Gregoria Moran,621881,1641,Spinfield Way,102815882
224,12107,Agatha Seddon,466755,740,Northstead Way,636352179
225,12111,Lovella Bartosch,266040,3546,Barooga Ave,904592220
226,12121,Jeffry Gadewoltz,522094,1139,Gozo Ave,317997981
227,12136,Joette Rintharamy,768269,1482,W Hampshire Ave,146716843
228,12160,Bruno Brodis,146892,2258,Druet Way,831111970
229,12161,Rachell Heppeard,315677,3513,Reidmond Circle,644222168
230,12178,Ivette Berch,297328,619,Cerra Vista Ave,469687841
231,12179,Lacy Gnagey,878687,2250,St Cloud Dr,593462365
232,12184,Duncan Daughdrill,264672,2788,Colwick Dr,769810787
233,12185,Noel Mclaughlan,934390,1887,Mayroyd Rd,887558596
234,12190,Joan Agoro,684538,5,Viewfield Dr,971884969
235,12207,Wilmer Wolever,509484,139,Franklin Ave,636825374
236,12230,Tomas Milbradt,107867,3263,Depaul Circle,950297985
237,12261,Yajaira Survis,671476,1655,Scaneateles Blvd,341531618
238,12272,Rogelio Protasewich,315432,43,West Hill Dam Rd,457524598
239,12279,Courtney Guiel,134891,3278,Aldworth Circle,377864953
240,12295,Adina Naysmith,686321,1951,Pioneer Hills Rd,849491426
241,12297,Jacquelyne Wegleitner,567054,1301,French Lake Way,569197369
242,12307,Towanda Orzel,426033,1812,Manzanita Springs St,712229764
243,12319,Arron Fanucchi,143946,227,Rumonoski Ave,798874477
244,12325,Robbi Polen,713163,3109,Pepper Valley Rd,243726350
245,12329,Royal Alviso,715785,992,Scotti Ave,918792830
246,12344,Thaddeus Modin,755580,626,N Plumwood Ave,825710426
247,12347,Omar Evins,470407,3703,E Grassy Sprain Rd,584228988
248,12354,Lili Korthauer,553171,3492,Grayton Circle,792091159
249,12361,Jeramy Foos,108832,1567,Rock Brook Way,213665325
250,12363,Shakira Rennell,216365,1216,E Leeds Infirmary Way,671455007
251,12365,Leroy Dae,630341,492,N Vanderpool Circle,888753740
252,12371,Luke Palumbo,513049,880,Wilderhold Rd,841563944
253,12372,Lucia Farb,145460,3380,Hommell Way,772002789
254,12376,Tamie Franty,308063,2334,Eaton Valley St,269424879
255,12378,Tom Tuning,226283,1228,Bendmore Circle,773834611
256,12394,Marna Turberville,760432,558,Appley Rd,658012151
257,12412,Cliff Cholula,756181,2437,Little Gypps Ave,784550860
258,12423,Nikole Culleton,492737,1897,Story Book Way,251290909
259,12468,Carmelo Stiehl,922240,2138,Moorbrook Way,521384497
260,12479,Enriqueta Munafo,258458,619,Hotson St,401776944
261,12484,Clemencia Wegmann,751211,1037,Evanston Main St,626727575
262,12488,Emilio Paniagua,482379,2257,S Point Douglas Ser Way,706311587
263,12495,Charlott Tag,579003,1368,Florfield St,454830964
264,12509,Pierre Webley,500394,436,W Benck Dr,390221256
265,12519,Leta Cruise,139448,2948,Archery Way,997320380
266,12526,Fawn Lindemuth,573029,2039,Hilgard Way,325500736
267,12533,Merilyn Harrop,862045,3048,Fenns Dr,513333305
268,12534,Millicent Cascia,817036,1413,West Platti Rd,916416705
269,12542,Jayme Vaksman,211358,2508,W Fulton Dr,428224927
270,12547,Mariano Zulkowski,258846,1890,Keel Blvd,464540619
271,12550,Marco Leddy,340007,3434,Slidell Circle,411911239
272,12565,Petra Graybill,840880,1071,Goddu Blvd,284098931
273,12573,Granville Moznett,881484,1023,North Walnut Ave,662617693
274,12578,Chong Rosel,758871,2028,Thomas View Way,237037927
275,12582,Duane Mordeci,738854,3365,Charlottesville Circle,226879322
276,12613,Kerri Panduro,339526,469,Berry Creek St,667202286
277,12630,Adrian Lauden,609037,1333,W Tow Path Blvd,734041134
278,12657,Linnie Marsek,540724,2475,Garrans Way,438795338
279,12664,Ma Sollie,284195,3976,Quincy Way,917521738
280,12665,Victoria Sutulovich,200692,344,Maciver Dr,244780904
281,12677,Andrea Portuondo,929913,594,Tara View Dr,892776093
282,12711,Norman Apolito,667757,599,Northwestern Dr,778264744
283,12724,Tressa Burt,130553,1703,Comeau St,873150088
284,12732,Troy Donndelinger,269885,3645,Chickory Blvd,130168087
285,12736,Cyrus Belmont,937473,776,Valley Crest St,734053785
286,12737,Carroll Killary,979717,901,Cottesmore Dr,109857046
287,12754,Soo Falah,745258,500,Canada Farm Way,303833406
288,12761,Milton Figary,680325,3953,Manser Ave,238242388
289,12770,Morton Fearheller,156448,3583,Preston Dr,720617364
290,12778,Siobhan Braham,938018,3992,Pelham St,920374065
291,12781,Ching Bo,580371,170,Tupia Blvd,358139493
292,12818,Jordon Fraise,413843,1583,Watervliet Ave,129569444
293,12836,Marvel Stain,897702,2675,Moor Hey Circle,859717947
294,12839,Patrick Hickethier,876051,3766,Shadybrook Dr,809842854
295,12841,Rose Marcil,699741,1618,Storetti St,632347949
296,12850,Chana Lampo,543315,3530,Thornlea Rd,785061575
297,12855,Dave Riverman,470640,808,Lake Landing Way,380551835
298,12879,Vella Willinger,200277,2730,Arrowsmith Rd,989483871
299,12901,Gustavo Delossanto,424088,2032,Northeast Carpenter Rd,923910567
300,12941,Lakisha Ciuffreda,481161,2661,Whitbarrow Dr,610924138
301,12955,Brock Tann,572656,3290,Nardell Circle,188575558
302,12971,Modesta Burditt,559740,1851,Bounds Blvd,587368406
303,13017,Santo Blind,846406,446,Angwin St,210324452
304,13018,Wm Dalba,478535,2074,Kassel St,604163049
305,13032,Winona Goetzke,728609,1139,Winforton Rd,813137423
306,13042,Rudolph Elton,355414,1927,W Martha Blvd,379484024
307,13047,Lexie Klatte,171497,640,Murry Dr,923966632
308,13050,Rodger Leyra,152517,3491,Coddle Harbor Ave,905963960
309,13054,Hiram Bohne,665680,730,Alpha Rd,776955662
310,13064,Dion Montague,467669,485,Briggs Blvd,184082532
311,13080,Demetrius Majeau,565421,3916,Bravington Dr,983358230
312,13108,Olimpia Morla,847066,566,Cotchford Way,473687469
313,13119,Millie Anzures,726123,3462,Bundaleer Circle,302551205
314,13131,Georgianna Vintinner,751409,10,Washington Park Way,244519749
315,13155,Danielle Stutes,782669,2648,Greatness Dr,685963339
316,13189,Kelle Mckeever,411754,1124,Gold Flat Rd,657267230
317,13212,Andrew Nordling,562738,3804,Marble Fawn Ave,796991421
318,13227,Rick Brundrett,233260,1659,Drakewood St,196185634
319,13241,Allie Jenschke,458292,657,Livingston Rd,586169409
320,13242,Illa Hernton,798159,823,Kaehler Circle,676079525
321,13252,Shelley Kirylo,842147,1612,Maximfeldt Blvd,159304270
322,13253,Jordon Ingrim,436013,515,Dick Phelps Way,343188878
323,13256,Nigel Muhlestein,774972,3768,Brickwall St,827681927
324,13261,Julia Rudick,609462,2046,Ladner Rd,152551704
325,13262,Lindsy Walts,692382,3856,W Butterfield Rd,202256064
326,13273,Tory Linde,343538,942,Kentigern Dr,315647709
327,13296,Danial Hinderman,327999,3503,Holly Forest Way,784435644
328,13308,Dede Krauel,927703,2689,High Beech Circle,132478275
329,13322,Cara Weyman,123784,1310,Outer Zayante Ave,808324107
330,13340,Esta Madenford,963960,2390,Bemsted Way,347001316
331,13345,Donya Quenzel,617240,1564,Legard Circle,432019274
332,13357,Karlene Feit,272800,3987,Tye River Ave,115594104
333,13362,Drusilla Schuller,785407,3025,Gaulin St,581530576
334,13369,Denis Southworth,635098,3861,Dudley Dr,748618564
335,13374,Garth Revolorio,246823,1865,Fishing Dr,966145987
336,13388,Terri Seiters,706041,2358,Ashton Clough Rd,358535734
337,13403,Roseann Heinis,392158,1162,Bufflehead Dr,320499192
338,13455,Fumiko Soloman,932475,36,Tracy Schar St,774221326
339,13460,James Harold,793865,626,Duchesne Circle,742630069
340,13466,Armando Huie,817218,1695,Lander Rd,795148951
341,13468,Keith Candozo,753817,2186,Canada Valley Ave,958215353
342,13480,Levi Tangaro,185981,975,Luyster Dr,456995790
343,13488,Barney Skartvedt,951670,285,Sun Tree Ave,489246720
344,13492,Cliff Bransom,942063,3648,East Angela Way,345752075
345,13499,Sheldon Bohne,893106,1791,Story Acres St,950295483
346,13514,Peter Habeck,739864,1560,Rupertswood Way,246056511
347,13515,Luciana Filsinger,397364,205,Mayne Ave,310985722
348,13530,Emmanuel Dittberner,428718,1951,Norcott St,410353980
349,13541,Basil Chrzanowski,124053,3855,Boxmill Way,755878582
350,13548,Shelli Korman,826329,1274,Hy Sil Blvd,391425319
351,13550,Roman Katzman,412222,1155,Possumtown Blvd,716756787
352,13568,Pura Killen,257214,520,Belt Circle,622726285
353,13581,Alda Damoro,386717,3961,Thoydon Blvd,976953111
354,13582,Don Zoquier,153636,2774,Westfield Blvd,244429463
355,13598,Star Puccetti,516560,296,Bluebonnet St,237268257
356,13625,Fabian Fiallo,665793,2463,Cyprus Cedar St,601734245
357,13628,Georgette Marsland,301631,2148,Manthorpe St,956046563
358,13630,Carmen Semke,573051,384,W Hundley Rd,269971075
359,13637,Ervin Smyre,158889,1824,Bainbrigge St,406033098
360,13638,Waldo Matar,633622,759,Wehner Dr,858299714
361,13641,Truman Lackett,629373,2244,Orchardhill Ave,308711568
362,13649,Beaulah Minugh,398588,3964,Southwest Virginia Blvd,362132814
363,13660,Theresa Battko,314910,2353,Leonello Dr,444582433
364,13661,Debbra Vario,527716,124,Mc Dougall Circle,858365861
365,13664,Louis Leyland,803795,2631,Deer Canyon Ave,545937701
366,13679,Elinor Nogueira,800296,524,Pleasant Springs Blvd,967602103
367,13682,Renetta Replin,525873,1654,Lage Rd,632361405
368,13692,Caryl Mongan,514153,848,W Fuller Circle,213963373
369,13703,Lien Yasin,236971,1813,Fitzwarren Blvd,942403927
370,13707,Micheal Milas,160781,21,Peaceful Pond Dr,896957092
371,13721,Jeffrey Delmedico,343690,2463,Warren Farm Circle,355179972
372,13756,Rudy Baldon,842911,455,Indian Wells Ave,245047799
373,13759,Claudio Segreto,855099,745,Lahonda Way,129122621
374,13772,Monroe Cockerell,712647,3736,Mota Way,300525653
375,13779,Nubia Coles,312414,3949,La Puerta Rd,995360218
376,13781,Carletta Meleen,894663,3883,S Cardinal Rd,539484960
377,13808,Royce Rushmore,288748,3241,Headley Hill Dr,260837442
378,13818,Jamaal Vanhese,462640,1568,Stowell Circle,562145727
379,13820,Ivy Billeter,853447,2544,Wilmerding Rd,969196934
380,13825,Mistie Devoe,440773,289,Gomez Rd,387185377
381,13845,Isa Criscuolo,411997,3073,Glenisters Way,276770330
382,13847,Dan Bresnahan,918784,234,Saint Etheldore Rd,648324819
383,13849,Rosanne Fego,392774,3839,Devaney Circle,923519674
384,13857,Elvie Cetta,508000,1581,Maranui Ave,982110755
385,13859,Teddy Lese,181359,3039,Thistlebridge Dr,675467580
386,13861,Jasper Kuklenski,675110,3497,Fulling Way,828832951
387,13872,Isadora Pellegrin,654411,1754,Mount Lassen St,577331209
388,13873,Loni Watanabe,931925,2249,Back High Dr,112689438
389,13895,Rebbecca Lamarch,891284,287,Rosalinda Circle,144915680
390,13900,Jaquelyn Coutee,960976,1613,Vivian Dr,862287242
391,13915,John Dile,909334,3783,Icehouse Ave,957131634
392,13917,Hank Jank,695273,2462,Claygate St,749497794
393,13922,Nancee Meuller,624510,1789,Fir Tree Ave,291545742
394,13928,Deadra Aharon,944185,270,Clares Circle,414340171
395,13933,Sol Stanert,726702,2814,Paint Branch St,215039924
396,13934,Corinne Cagney,814343,3080,St.Helier  Love Dr,889173099
397,13945,Fausto Damian,445395,3199,Derekwood St,797028379
398,13954,Lilla Lucht,924535,3006,Roving Wood Dr,804998294
399,13965,Adelaida Krenik,382037,2364,Manufacturers St,213783400
400,13966,Terisa Altomare,201258,785,Cockbush St,675011071
401,13985,Ernie Brosi,490082,2956,Sharot Rd,942878060
402,13989,Norma Gudroe,585205,2898,Ridgedale Ave,536434829
403,13995,Benito Jostes,175720,2928,Clinton Ave,729863043
404,14020,Neva Crossfield,961633,3203,Desmoulin Rd,861025019
405,14023,Otis Alberty,581949,3173,Chantecler Blvd,720291906
406,14029,Jc Dannelley,536140,706,Owlswood Way,803166889
407,14045,Monte Mollenhauer,829647,3262,Manship Dr,572915604
408,14049,Chris Cordovi,769361,3107,Ranfre Ave,509312726
409,14058,Darrin Villafuerte,172768,2428,Roque Moraes Blvd,854483304
410,14062,Tomas Sipriano,821441,472,Sorci Rd,989203986
411,14068,Nicolasa Abshier,730814,1223,Chisholme St,939547450
412,14082,Stanton Kaupp,947178,361,Dorsetshire Ave,604049850
413,14087,Selina Quilici,703548,1813,Farragut Circle,553910337
414,14088,Blaine Selvidge,532256,3477,Neuenschwander Way,179523467
415,14090,Callie Gailey,611482,404,Spen Vale Circle,601898947
416,14111,Katherine Bobek,247091,115,Orsini Rd,960531530
417,14112,Owen Arterberry,427657,910,Bayberrie Way,709352404
418,14114,Tameika Bilbo,984256,1054,Windgate Circle,643382763
419,14120,Rayford Brissey,761533,258,N Chippewa Ave,493327215
420,14128,Maile Levitre,879181,3079,St Lukes Rd,743135643
421,14140,Joseph Langeveld,791269,2170,Potomac Knolls St,950863015
422,14153,Florance Sedler,773641,2061,Russel Rd,529431891
423,14182,Zack Karwoski,964918,1546,W Middleton Way,482427372
424,14191,Curt Deas,831969,2279,Brambach Way,539915887
425,14203,Leisha Hussien,342538,866,Hackberry Way,823310261
426,14210,Rick Behrend,254760,729,Volpi Circle,848426583
427,14216,Delbert Shiring,344686,579,Eatonia Rd,998429601
428,14217,Morton Ronsani,224299,1773,John Wyatt Ave,606252617
